nome,cpf,idade,data,endereco,estado,pais,salario,nivel_educacao,numero_filhos,estado_civil,anos_experiencia,area_atuacao
Vitor Lima,612.570.493-99,56,1968-01-19,"Estrada Barbosa, 255
Vila Tirol
53133-647 Barros / PR",Pará,Brasil,13550.54,Ensino Médio,0,Casado,17,Tecnologia
Heloísa da Mata,340.981.256-33,49,1975-01-31,"Pátio de Vieira, 83
Jonas Veiga
53832-319 Cardoso / PR",Rio Grande do Norte,Brasil,3124.72,Ensino Médio,3,Casado,3,Indústria
Juan Novaes,097.168.524-01,54,1969-08-26,"Morro de Pereira
Piraja
36797-897 Rocha / PA",Minas Gerais,Brasil,7534.6,Ensino Médio,0,Casado,18,Tecnologia
Srta. Sarah Peixoto,079.283.516-68,61,1963-03-19,"Área Marina Martins, 34
São Sebastião
10696-521 das Neves / PE",Amapá,Brasil,4067.73,Ensino Fundamental,1,Solteiro,16,Comércio
Maria da Rocha,140.628.739-31,30,1993-12-09,"Esplanada de Fernandes, 58
Marieta 3ª Seção
64664398 Gomes / PA",Alagoas,Brasil,6809.94,Ensino Médio,1,Casado,9,Tecnologia
Ana Júlia Silveira,718.204.536-26,54,1969-06-24,"Favela Maria Vitória Jesus, 3
Vila Rica
09722493 Correia / BA",Pará,Brasil,9025.74,Ensino Médio,1,Solteiro,25,Indústria
Mariane Gomes,789.351.240-79,28,1996-03-25,"Área da Cunha
Santo Antônio
54159049 Cardoso dos Dourados / TO",Tocantins,Brasil,9493.67,Ensino Superior,1,Casado,6,Comércio
Brenda Barros,240.917.853-79,30,1993-06-20,"Condomínio de Ribeiro
Granja Werneck
34811-809 das Neves / MG",Tocantins,Brasil,4072.6,Ensino Médio,0,Solteiro,11,Educação
Emilly Souza,175.804.923-50,24,2000-02-21,"Loteamento Luiza Rodrigues, 808
Coqueiros
47817796 Jesus / RR",Rio Grande do Norte,Brasil,4039.96,Ensino Fundamental,1,Solteiro,0,Indústria
Esther Duarte,624.183.507-62,35,1988-08-02,"Condomínio Gustavo Henrique da Mota
Estoril
98388-619 Correia de Goiás / PB",Amazonas,Brasil,3457.97,Ensino Fundamental,1,Viúvo,3,Indústria
Nina Moura,589.713.620-30,29,1995-02-22,"Passarela Costa, 79
Bela Vitoria
74834118 Rezende / RJ",Rio Grande do Norte,Brasil,3913.59,Ensino Médio,1,Casado,3,Educação
André Santos,569.087.123-03,39,1984-12-08,"Via de da Luz, 34
Conjunto Califórnia Ii
87565897 Nascimento / MT",Rio Grande do Sul,Brasil,11956.86,Ensino Superior,1,Divorciado,13,Saúde
Joana Ferreira,207.384.196-13,27,1996-11-08,"Área de Melo, 45
Jardim Guanabara
07586-725 Vieira Verde / SP",São Paulo,Brasil,4741.55,Ensino Fundamental,2,Casado,5,Tecnologia
Milena Gonçalves,467.125.083-71,28,1995-08-04,"Passarela de Gomes, 26
Taquaril
35937-010 Silva do Sul / PI",Santa Catarina,Brasil,5750.38,Ensino Médio,1,Casado,1,Tecnologia
Rafael da Cunha,104.752.693-06,22,2001-07-26,"Jardim Vitor Hugo Vieira, 586
Havaí
56124881 Farias Alegre / GO",Distrito Federal,Brasil,3302.26,Ensino Médio,1,Solteiro,2,Indústria
Vitor Hugo Dias,481.927.350-79,31,1993-04-10,"Passarela Caio Campos, 43
Barro Preto
42284-477 Nogueira / MA",Pernambuco,Brasil,6801.59,Ensino Médio,1,Casado,8,Saúde
Vitor Gabriel Cunha,082.914.765-94,46,1977-07-14,"Chácara Alves, 8
Vila São Francisco
53758-045 Porto do Oeste / AC",Distrito Federal,Brasil,3452.93,Ensino Fundamental,1,Divorciado,24,Saúde
Maria das Neves,054.621.798-20,62,1961-06-30,"Vale Bryan Pinto
Mariano De Abreu
86403249 Ramos / PE",São Paulo,Brasil,7316.91,Ensino Superior,2,Solteiro,8,Indústria
Sr. João Guilherme Rezende,645.807.291-02,23,2000-08-11,"Passarela de Teixeira, 3
Conjunto Minas Caixa
20814446 Farias do Oeste / PI",Paraíba,Brasil,3076.23,Ensino Médio,0,Casado,5,Indústria
Nicole Ferreira,583.601.947-93,25,1998-11-08,"Lago Thiago Aragão, 54
Céu Azul
14208587 Caldeira / RO",Goiás,Brasil,3268.8,Ensino Médio,0,Solteiro,6,Educação
